"Gene.stable.ID","Gene.name"
"ENSMUSG00000101311","Gm28250"
"ENSMUSG00000100803","Gm28251"
"ENSMUSG00000100873","Gm28243"
"ENSMUSG00000101692","Gm28244"
"ENSMUSG00000101198","Gm29021"
"ENSMUSG00000099955","Gm28880"
"ENSMUSG00000099873","Gm28452"
"ENSMUSG00000101920","Gm28454"
"ENSMUSG00000099430","Gm28878"
"ENSMUSG00000100099","Gm28879"
"ENSMUSG00000100495","Gm29369"
"ENSMUSG00000100570","Gm29399"
"ENSMUSG00000101863","Gm29400"
"ENSMUSG00000099727","Gm29401"
"ENSMUSG00000101753","Gm28799"
